campaignid,opcode,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,family,genus,species,caab_code,count
2020-10_south-west_stereoBRUVs,FH63,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH63,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,8
2020-10_south-west_stereoBRUVs,FH63,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,16
2020-10_south-west_stereoBRUVs,FH64,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,25
2020-10_south-west_stereoBRUVs,FH65,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,9
2020-10_south-west_stereoBRUVs,FH65,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,5
2020-10_south-west_stereoBRUVs,FH66,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,2
2020-10_south-west_stereoBRUVs,FH66,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,23
2020-10_south-west_stereoBRUVs,FH67,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,15
2020-10_south-west_stereoBRUVs,FH68,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,1
2020-10_south-west_stereoBRUVs,FH68,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,10
2020-10_south-west_stereoBRUVs,FH68,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,14
2020-10_south-west_stereoBRUVs,FH69,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH69,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,9
2020-10_south-west_stereoBRUVs,FH7,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,13
2020-10_south-west_stereoBRUVs,FH7,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,10
2020-10_south-west_stereoBRUVs,FH70,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH70,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH70,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,3
2020-10_south-west_stereoBRUVs,FH71,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH71,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,3
2020-10_south-west_stereoBRUVs,FH71,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,26
2020-10_south-west_stereoBRUVs,FH72,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,2
2020-10_south-west_stereoBRUVs,FH72,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,18
2020-10_south-west_stereoBRUVs,FH74,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,2
2020-10_south-west_stereoBRUVs,FH74,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,3
2020-10_south-west_stereoBRUVs,FH74,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,22
2020-10_south-west_stereoBRUVs,FH77,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,23
2020-10_south-west_stereoBRUVs,FH78,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,3
2020-10_south-west_stereoBRUVs,FH78,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,16
2020-10_south-west_stereoBRUVs,FH79,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,4
2020-10_south-west_stereoBRUVs,FH79,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,24
2020-10_south-west_stereoBRUVs,FH8,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,9
2020-10_south-west_stereoBRUVs,FH8,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,16
2020-10_south-west_stereoBRUVs,FH82,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,1
2020-10_south-west_stereoBRUVs,FH82,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,10
2020-10_south-west_stereoBRUVs,FH82,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH82,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,2
2020-10_south-west_stereoBRUVs,FH83,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,1
2020-10_south-west_stereoBRUVs,FH83,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,5
2020-10_south-west_stereoBRUVs,FH83,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,15
2020-10_south-west_stereoBRUVs,FH83,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,2
2020-10_south-west_stereoBRUVs,FH84,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,4
2020-10_south-west_stereoBRUVs,FH84,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH84,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,12
2020-10_south-west_stereoBRUVs,FH85,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,4
