"sample","campaignid","relief.rank"
"7","2021-05_PtCloates_stereo-BRUVS",0
"7","2021-05_PtCloates_stereo-BRUVS",0
"7","2021-05_PtCloates_stereo-BRUVS",0
"7","2021-05_PtCloates_stereo-BRUVS",1
"7","2021-05_PtCloates_stereo-BRUVS",1
"7","2021-05_PtCloates_stereo-BRUVS",0
"7","2021-05_PtCloates_stereo-BRUVS",1
"7","2021-05_PtCloates_stereo-BRUVS",0
"7","2021-05_PtCloates_stereo-BRUVS",0
"7","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"8","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"9","2021-05_PtCloates_stereo-BRUVS",0
"10","2022-05_PtCloates_stereo-BRUVS",0
"10","2022-05_PtCloates_stereo-BRUVS",1
"10","2022-05_PtCloates_stereo-BRUVS",0
"10","2022-05_PtCloates_stereo-BRUVS",0
"10","2022-05_PtCloates_stereo-BRUVS",0
"10","2022-05_PtCloates_stereo-BRUVS",1
"10","2022-05_PtCloates_stereo-BRUVS",0
"10","2022-05_PtCloates_stereo-BRUVS",0
"10","2022-05_PtCloates_stereo-BRUVS",0
"10","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"11","2022-05_PtCloates_stereo-BRUVS",0
"12","2022-05_PtCloates_stereo-BRUVS",0
"12","2022-05_PtCloates_stereo-BRUVS",0
"12","2022-05_PtCloates_stereo-BRUVS",1
"12","2022-05_PtCloates_stereo-BRUVS",0
"12","2022-05_PtCloates_stereo-BRUVS",1
"12","2022-05_PtCloates_stereo-BRUVS",0
"12","2022-05_PtCloates_stereo-BRUVS",1
"12","2022-05_PtCloates_stereo-BRUVS",0
"12","2022-05_PtCloates_stereo-BRUVS",1
"12","2022-05_PtCloates_stereo-BRUVS",0
"13","2022-05_PtCloates_stereo-BRUVS",2
"13","2022-05_PtCloates_stereo-BRUVS",2
"13","2022-05_PtCloates_stereo-BRUVS",1
"13","2022-05_PtCloates_stereo-BRUVS",1
"13","2022-05_PtCloates_stereo-BRUVS",0
"13","2022-05_PtCloates_stereo-BRUVS",0
"13","2022-05_PtCloates_stereo-BRUVS",0
"13","2022-05_PtCloates_stereo-BRUVS",0
"13","2022-05_PtCloates_stereo-BRUVS",0
"13","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"14","2022-05_PtCloates_stereo-BRUVS",0
"15","2022-05_PtCloates_stereo-BRUVS",1
"15","2022-05_PtCloates_stereo-BRUVS",0
"15","2022-05_PtCloates_stereo-BRUVS",1
"15","2022-05_PtCloates_stereo-BRUVS",0
"15","2022-05_PtCloates_stereo-BRUVS",1
"15","2022-05_PtCloates_stereo-BRUVS",1
"15","2022-05_PtCloates_stereo-BRUVS",1
"15","2022-05_PtCloates_stereo-BRUVS",0
"15","2022-05_PtCloates_stereo-BRUVS",1
"15","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"16","2022-05_PtCloates_stereo-BRUVS",0
"17","2022-05_PtCloates_stereo-BRUVS",2
"17","2022-05_PtCloates_stereo-BRUVS",2
"17","2022-05_PtCloates_stereo-BRUVS",2
"17","2022-05_PtCloates_stereo-BRUVS",2
"17","2022-05_PtCloates_stereo-BRUVS",1
"17","2022-05_PtCloates_stereo-BRUVS",1
"17","2022-05_PtCloates_stereo-BRUVS",1
"17","2022-05_PtCloates_stereo-BRUVS",2
"17","2022-05_PtCloates_stereo-BRUVS",1
"17","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"18","2022-05_PtCloates_stereo-BRUVS",0
"19","2022-05_PtCloates_stereo-BRUVS",1
"19","2022-05_PtCloates_stereo-BRUVS",1
"19","2022-05_PtCloates_stereo-BRUVS",1
"19","2022-05_PtCloates_stereo-BRUVS",1
"19","2022-05_PtCloates_stereo-BRUVS",2
"19","2022-05_PtCloates_stereo-BRUVS",3
"19","2022-05_PtCloates_stereo-BRUVS",3
"19","2022-05_PtCloates_stereo-BRUVS",3
"19","2022-05_PtCloates_stereo-BRUVS",2
"19","2022-05_PtCloates_stereo-BRUVS",2
"19","2022-05_PtCloates_stereo-BRUVS",2
"19","2022-05_PtCloates_stereo-BRUVS",1
"1","2022-05_PtCloates_stereo-BRUVS",0
"1","2022-05_PtCloates_stereo-BRUVS",0
"1","2022-05_PtCloates_stereo-BRUVS",0
"1","2022-05_PtCloates_stereo-BRUVS",0
"1","2022-05_PtCloates_stereo-BRUVS",0
"1","2022-05_PtCloates_stereo-BRUVS",0
"1","2022-05_PtCloates_stereo-BRUVS",0
"1","2022-05_PtCloates_stereo-BRUVS",1
"1","2022-05_PtCloates_stereo-BRUVS",0
"1","2022-05_PtCloates_stereo-BRUVS",0
"20","2022-05_PtCloates_stereo-BRUVS",0
"20","2022-05_PtCloates_stereo-BRUVS",0
"20","2022-05_PtCloates_stereo-BRUVS",0
"20","2022-05_PtCloates_stereo-BRUVS",0
"20","2022-05_PtCloates_stereo-BRUVS",0
"20","2022-05_PtCloates_stereo-BRUVS",0
"20","2022-05_PtCloates_stereo-BRUVS",0
"20","2022-05_PtCloates_stereo-BRUVS",0
"20","2022-05_PtCloates_stereo-BRUVS",1
"20","2022-05_PtCloates_stereo-BRUVS",0
"21","2022-05_PtCloates_stereo-BRUVS",2
"21","2022-05_PtCloates_stereo-BRUVS",1
"21","2022-05_PtCloates_stereo-BRUVS",2
"21","2022-05_PtCloates_stereo-BRUVS",1
"21","2022-05_PtCloates_stereo-BRUVS",2
