"campaignid","sample","depth","multibeam_derivatives_depth","multibeam_derivatives_detrended","multibeam_derivatives_roughness","multibeam_derivatives_tpi","longitude","latitude"
"2020-10_south-west_stereo-BRUVs","IO91",43.5,43.9660682678223,0.385170459747314,0.123157501220703,0.00298500061035156,305701.052139736,6225453.58145819
"2020-10_south-west_stereo-BRUVs","IO92",42.3,43.1127777099609,0.0900695621967316,0.339069366455078,0.168389797210693,305020.502040547,6224884.75029605
"2020-10_south-west_stereo-BRUVs","IOC04",109,111.823997497559,-4.36089277267456,0.217636108398438,0.0337381362915039,292342.966457875,6225849.95226974
"2020-10_south-west_stereo-BRUVs","IOC05",43.2,44.4865036010742,1.8908474445343,0.116653442382812,0.0597529411315918,306161.411123859,6229873.37346532
"2020-10_south-west_stereo-BRUVs","IO215",46.7,47.6290168762207,-1.76661825180054,0.145565032958984,0.00783300399780273,308643.548547599,6228287.58964215
"2020-10_south-west_BOSS","C01",NA,43.4114875793457,1.37608289718628,0.836929321289062,0.130338668823242,305080.600544341,6234171.67399595
"2020-10_south-west_BOSS","216",47.5,49.1853981018066,-2.52625179290771,0.235145568847656,-0.0183243751525879,307706.235268421,6229099.45361151
"2020-10_south-west_BOSS","235",47,44.6528091430664,0.380543887615204,0.175605773925781,-0.00694847106933594,309619.492160414,6225809.69882086
"2020-10_south-west_BOSS","217",46.3,48.9759254455566,-2.5844521522522,0.210994720458984,0.0677475929260254,307948.28309354,6228549.61975404
"2020-10_south-west_BOSS","215",46.9,47.5922927856445,-1.73308086395264,0.106742858886719,0.0067896842956543,308646.148421191,6228286.41857289
"2020-10_south-west_BOSS","356",47.2,48.1191291809082,-1.80251228809357,0.491703033447266,-0.0703601837158203,307919.04077331,6228171.78536532
"2020-10_south-west_BOSS","218",46.5,48.0096130371094,-1.91263341903687,0.212074279785156,0.0334200859069824,308195.942935919,6227722.5137441
"2020-10_south-west_BOSS","102",46.4,47.1479721069336,-0.728982627391815,0.180782318115234,-0.0858602523803711,307267.368979232,6227980.96927523
"2020-10_south-west_BOSS","100",44.5,45.1490478515625,1.13321328163147,0.211166381835938,0.00890874862670898,307047.978570939,6227421.71705132
"2020-10_south-west_BOSS","119",43.5,44.670467376709,1.30938839912415,0.163364410400391,-0.0130453109741211,306586.536577128,6227412.26556483
"2020-10_south-west_BOSS","101",43.4,43.8668327331543,1.15351891517639,0.314876556396484,-0.055325984954834,305900.07904038,6227120.77733144
"2020-10_south-west_BOSS","236",46,47.250244140625,-1.32883751392365,0.200046539306641,0.0333156585693359,308443.565190259,6226895.40218778
"2020-10_south-west_BOSS","237",43.2,44.6150207519531,0.271492511034012,0.175369262695312,0.0735616683959961,309597.095750458,6226918.76412704
"2020-10_south-west_BOSS","C02",45,46.6612815856934,-0.998584270477295,0.617431640625,-0.063117504119873,308822.275002262,6226439.52889853
"2020-10_south-west_BOSS","235REDO",44.3,44.6528091430664,0.380543887615204,0.175605773925781,-0.00694847106933594,309619.492160414,6225809.69882086
"2020-10_south-west_BOSS","239",45.3,46.6775054931641,-1.2091109752655,0.341941833496094,-0.236169815063477,309158.134684509,6225800.36969117
"2020-10_south-west_BOSS","91",42.7,43.9376335144043,0.420377552509308,0.144195556640625,0.0378336906433105,305703.651681093,6225452.41121348
"2020-10_south-west_BOSS","80",43.1,43.2717552185059,0.298605769872665,0.091949462890625,0.0462765693664551,305242.303125482,6225442.88957917
